date,white,white_elo,black,black_elo,opening
2021.03.02,Gustalfil,1426,Zeshandachess,1366,"Bongcloud Attack"
2021.03.02,Gustalfil,1418,jkwarlick,1414,"Bongcloud Attack"
2021.03.02,SacrificingMyKing,604,fraoufo,681,"Bongcloud Attack"
2021.03.02,yasadaddy,783,lg4492,1053,"Bongcloud Attack"
2021.03.02,schwarz5,1276,diemosk,1294,"Bongcloud Attack"
2021.03.02,lg4492,1101,Danny_Crognale,1969,"Bongcloud Attack"
2021.03.02,lg4492,1275,BlackCat700,2224,"Bongcloud Attack"
2021.03.02,JohanWedin,1141,Peru92,1111,"Bongcloud Attack"
2021.03.02,walito,1235,LevoPasa,1216,"Bongcloud Attack"
2021.03.02,Yagizz07,1676,ozanol,1616,"Bongcloud Attack"
2021.03.02,Diegodino03,820,Kratziell,787,"Bongcloud Attack"
2021.03.02,MYMSLogan,940,rambler_099,1091,"Bongcloud Attack"
2021.03.02,ethan2217,666,mike_Nicolas2021,660,"Bongcloud Attack"
2021.03.02,Gustalfil,1417,chriskaloykakou,1427,"Bongcloud Attack"
2021.03.02,Gustalfil,1412,DrDruenkenstein,1384,"Bongcloud Attack"
2021.03.02,Pralino69,1134,Globule9,1372,"Bongcloud Attack"
2021.03.02,MrStrandMan,1493,WordierPaladin,1424,"Bongcloud Attack"
2021.03.02,Benjiduka,965,dades211,893,"Bongcloud Attack"
2021.03.02,SuperHjelten,939,alvarolopezzz,933,"Bongcloud Attack"
2021.03.02,Rookie_player,1870,zuperman,1876,"Bongcloud Attack"
2021.03.02,arm567,910,rocknrolla8,883,"Bongcloud Attack"
2021.03.02,degenaratepawneater,1283,SonorDrummer66,1381,"Bongcloud Attack"
2021.03.02,gombrich39,1554,ilanE,1675,"Bongcloud Attack"
2021.03.03,ke2ke2ke2,1376,AleximoS,1373,"Bongcloud Attack"
2021.03.03,ke2ke2ke2,1355,brunoalbieri,1375,"Bongcloud Attack"
2021.03.03,ke2ke2ke2,1377,Dm_El_Aguila,1353,"Bongcloud Attack"
2021.03.03,RollingFire,1174,Sakamakik,1199,"Bongcloud Attack"
2021.03.03,Gustalfil,1403,dostavka_sushi,1361,"Bongcloud Attack"
2021.03.03,ohdeefish,1038,tokannan,972,"Bongcloud Attack"
2021.03.03,Bossker,645,mariaaeacostaa,701,"Bongcloud Attack"
