date,white,white_elo,black,black_elo,e4e5,wke2,bke7,opening,moves
2021.03.16,salsweet,1216,ahmetaygun,1278,1,1,0,"Bongcloud Attack","e4 e5 Ke2 g6 Nc3 Nf6 d3 Bg7 Nf3 d6 b3 O-O Bb2 Bg4 Rb1 Nc6 h3 Nd4 Ke1 Bxf3 gxf3 c5 Ne2 b5 Nxd4 cxd4 Be2 Qa5 Kf1 Qxa2 f4 a5 c4 a4 bxa4 Rxa4 cxb5 Rb4 Qd2 Qxb1"
2021.03.16,Pking33,1894,marctyson,1858,1,1,0,"Bongcloud Attack","e4 e5 Ke2 d5 d3 dxe4 dxe4 Qxd1 Kxd1 Bc5 f3 Be6 c3 Nc6 Nd2 O-O-O Kc2 f5 Bd3 fxe4 Nxe4 Be7 Ne2 Nf6 Nxf6 gxf6 Be3 f5 Bb5 Nb8 Rad1 c6 Ba4 Nd7 Rd2 Nc5 Bxc5 Bxc5 Rhd1 Rxd2 Rxd2 Rg8 g3 h5 Bb3 Bxb3 axb3 h4 b4 Be3 Rd3 Bh6 Rd6 Bg5 Re6 hxg3 Nxg3 Bf4 Nxf5 Bxh2 Ne7"
2021.03.16,Chessrulz231,1661,Blesso1991,1699,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nc3 d6 d3 Qf6 Be3 a6 f3 Nd4 Kf2 Nh6 Be2 Bg4 Nd5 Qh4 g3 Qd8 fxg4 c6 Nf3 cxd5 exd5 Nxg4 Kg2 Be7 Bxd4 exd4 Qd2 O-O Nxd4 Ne5 Rhe1 Bg5 Qc3 b5 Nf3 Nxf3 Bxf3 a5 a4 Bf6 Qd2 Bxb2 Rab1 Bf6 axb5 a4 b6 Qb8 Be4 a3 d4 Ra6 Bd3 Rxb6 Qf4 Rxb1 Rxb1 Qxb1 Qf5 g6 Qxf6 a2 Qxd6 a1=Q Qc5 Qg1 Kh3 Qae1 d6 Qe6 Kh4 Qxh2 Kg5 f6 Kf4 g5 Kf3 Qg1 Bc4 Re8 Bxe6 Rxe6 Qd5 Qe1 Kg4 Qe2 Kh3 Kg7 d7 Qh5 Kg2 Re2 Kf1 Qh2 d8=Q"
2021.03.16,mdmizan159597,2023,panierlivre,2027,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 d3 Nc6 c3 d5 f3 Bc5 Nd2 O-O Nb3 Bb6 Be3 d4 Bg5 h6 Bh4 Be6 Bf2 dxc3 bxc3 Bxf2 Kxf2 Nh5 g3 f5 Kg2 f4 g4 Bxg4 fxg4 f3 Nxf3 Nf4 Kg3 h5 h3 h4 Kh2 Nxd3 Bxd3 Qe7 Qe2 Rad8 Rhf1 Rf4 Ng1 Rdf8 Rxf4 exf4 Rf1 Ne5 Bc4 Kh8 Nf3 Nxf3 Rxf3 a6 Nd4 b5 Nf5 Qc5 Bb3 a5 Nxh4 Rf6 Ng2 a4 Bc2 c6 Rxf4 Rxf4 Nxf4 g5 Nh5 Qe5 Ng3 c5 Qf2 Qxc3 Qf8 Kh7 Qf7 Kh8 Qh5 Kg8 Qxg5 Kf8 Qd8 Kf7 Qd7 Kf6 Qf5 Ke7 Qg5 Kd7 Qg7 Kc6 Qxc3 Kb6 Qf6 Ka5 Nf5 Kb4 Nd6 c4 e5 Kc5 e6 Kxd6 e7 Kd7 Qf7 Kd6 e8=Q Kc5 Qf4 Kb4 Qe7 Kc3 Qfe5"
2021.03.16,mkarim15,1535,NB2067,1532,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 d3 d5 Nc3 dxe4 dxe4 Qxd1 Kxd1 Bb4 Bd2 Nc6 Nd5 Nxd5 exd5 Bxd2 Kxd2 Nb4 Bb5 c6 dxc6 bxc6 Bc4 O-O c3 Nd5 Rd1 Be6 Nf3 f6 Rhe1 Bf7 b3 Rfd8 Kc2 Rd7 Nh4 g6 Kb2 Rad8 Kc2 Nb6 Bxf7 Kxf7 g3 Rxd1 Rxd1 Rxd1 Kxd1 Nd5 Kd2 Ke6 Nf3 e4 Nd4 Kd7 c4 Nb4 a3 Nd3 f3 f5 fxe4 fxe4 b4"
2021.03.16,smidtoll,1480,Deathstr0ke,1529,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nf3 Bc5 Nc3 d6 d3 f5 Na4 Bb6"
2021.03.16,Chessrulz231,1668,Ganaa0811,1620,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nc3 Nd4 Ke1 Nf6 d3 Bc5 Bg5 Ne6 Bh4 O-O Nd5 g5 Nxf6 Qxf6 Qg4 h6 Nf3 Nd4 Nxg5 hxg5 Bxg5 Qg6 h4 Nxc2 Kd1 Nxa1 Qf3 d5 Rh3 Bxh3 gxh3 dxe4 dxe4 Rad8 Bxd8 Rxd8 Kc1 Qh6 Kb1 Qd2 a3 Nb3 Qxb3 Qe1 Ka2 Qxf1 Qg3 Kf8 Qxe5 Qc4 Kb1 Rd1"
2021.03.16,fakesamayrainaYT,1132,Karan_Sama,1019,1,1,0,"Bongcloud Attack","e4 e5 Ke2 d6 Ke1 Nf6 Bb5 Bd7 Bxd7 Nbxd7 Nc3 Be7 Nf3 Nc5 d4 Ncxe4 dxe5 dxe5 Nxe5 Qxd1 Nxd1 Bc5 Nd3 b6 b4 Bd4 c3 Nxf2 N1xf2 Bxc3 Bd2 Bxa1 Ke2 O-O-O Rxa1 Rhe8 Be3 Ng4 Nxg4 Re7 b5 Rde8 Nb4 f5 Nc6 fxg4 Nxe7 Rxe7 Rf1 g5 Kf2 Kd7 Bxg5 Rf7 Kg3 Ke6 Kxg4 Re7 Rf6 Ke5 Rf5 Ke6 Bxe7 Kxe7 Re5 Kf6 Rh5 Kg6 Re5 h5 Rxh5 Kf6 Rf5 Ke6 Kg5 Kd6 h4 Ke6 h5 Kd6 h6 Kd7 h7 Ke7 h8=Q Ke6 Qe8 Kd6 Qe5 Kd7 Qe6 Kxe6 Rf6"
2021.03.16,mkarim15,1541,Pavel_01121981,1574,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 d3 Bc5 Ke1 h6 Nc3 Nf6 Be3 Bxe3 fxe3 d6 Nf3 O-O Be2 Bg4 Kd2 d5 Nxd5 Nxd5 exd5 Qxd5 h3 Bxf3 Bxf3 Qa5 c3 Qb6 Be4 Qxb2 Qc2 Qb6 Rab1 Qa5 Rxb7 Ne7 Rhb1 f5 R7b5 Qa6 Bxa8 Rxa8 Rb8 Rxb8 Rxb8 Kh7 Re8 Qd6 Rb8 e4 d4 c5 Rb7 cxd4 cxd4 f4 Qc7 fxe3 Kxe3 Nf5 Kxe4 Qe6 Qe5 Nd6 Kf4 Qxe5 Kxe5 Nxb7 d5 Kg8 Ke6 Kf8 d6 Ke8 d7 Kd8 Kf7 Nc5 Kxg7 h5 Kg6 h4 Kg5 Kxd7 Kxh4 a5 Kg3 Kd6 h4 Ke6 Kg4 Kf6 Kh5 Kf5 g4 Kf6 g5 Kg7 g6 Ne6 a3 Nf4 Kg5 Nxg6 h5 Ne7 a4 Nd5 Kg4 Kh6 Kh4 Nc3 Kg4 Nxa4"
2021.03.16,Meeeennnnnnnn,960,xiaoef,899,1,1,1,"Bongcloud Attack","e4 e5 Ke2 Ke7 Ke1 Ke8 Ke2 Ke7 Ke1 Ke8 Ke2 Ke7 Ke1 Ke8 Ke2 Ke7 Ke1 Ke8 Ke2 Nf6"
2021.03.16,misha_2005,1435,yenp,1464,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 Nc3 Be7 d3 d6 g3 O-O Bg2 Nc6 Bg5 h6 Bd2 Be6 Ke1 a6 Nce2 b5 b4 Nd4 Bc3 c5 Bxd4 cxd4 c3 dxc3 Nxc3 Rc8 Qd2 d5 a3 dxe4 Nxe4 Nxe4 Bxe4 Qc7 Nf3 Qc3 Ke2 Qxd2 Nxd2 g6 Bb7 Rc2 Bxa6 Rd8 Rac1 Ra2 Bxb5 e4 Ra1 exd3 Bxd3 Rxa1 Rxa1 Bg5 Rd1 Ra8 Nb1 Re8 Kf1 Bh3 Kg1 Rd8 Be2 Re8 Bb5 Rb8 a4 h5 Rd5 Bh6 f4 Re8 Kf2 Rc8 a5 Rc2 Kf3 Bg4 Ke3"
2021.03.16,MrKilo99,1401,ROBINJ38000,1442,1,1,1,"Bongcloud Attack","e4 e5 Ke2 Ke7 Ke1 Ke8 Ke2 Ke7 Ke1 Ke8 Ke2 Ke7 Ke1 Ke8 Ke2 Ke7 g3 Nc6"
2021.03.16,DeepeshBhatt123,1192,biyoloji42,1175,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 d3 Bc5 Nf3 Ng4 d4 exd4 h3 d3 Qxd3 Nxf2 Qc4 d5 Qxc5 Nxh1 exd5 Qe7 Qxe7 Kxe7 Nc3 Re8 Bg5 Kf8 Kd2 f6 Re1 Rxe1 Kxe1 fxg5 Nxg5 h6 Nh7 Kg8 Bd3 Ng3 Kf2 Nh5 g4 Nf4 Be4 Nxh3 Kg3 Ng5 Nxg5 hxg5 Nb5 c6 Nc7 cxd5 Bxd5 Kf8 Nxa8 Nd7 Be6 Nb6 Nxb6 Bxe6 Na4 Bxa2 Nc5 b5 b4 Bb1 c3 Ba2 Nd7 Ke7 Nb8 Kd6 Na6 Kc6 Nb8 Kb7 Nd7 Be6 Nc5 Kc6 Nxe6 Kd6 Nxg7 Ke5 Ne8 Kd5 Nc7 Kc4 Kf3 Kxc3 Nxb5 Kxb4 Nxa7 Kc5 Ke4 Kd6 Kf5 Ke7 Kxg5 Kf7 Kf5 Kg7 Nc6 Kh6 Ne7 Kg7 Ng6 Kh6 Nf8 Kg7 Ne6 Kh6 g5 Kh7 Nf8 Kg7 Kg4 Kxf8 Kh5 Kg7 g6 Kh8 Kh6 Kg8 g7 Kf7 Kh7 Kf6 g8=Q Kf5 Qg6 Kf4 Qf6 Ke4 Qc6 Ke5 Kg6 Kd4 Qe6 Kc5 Kf5 Kd4 Kf4 Kd3 Qe4 Kc3 Ke3 Kb3 Qd5 Kc3 Qd4 Kb3 Qc5 Kb2 Kd3 Kb3 Qc4 Kb2 Qc3 Kb1 Qc2 Ka1 Qc1 Ka2 Kc3"
2021.03.16,qihanw2,2071,Adis_Percasi_KBB,2071,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 Nc3 d5 d3 dxe4 Nxe4 Nc6 Bg5 Bb4 Nf3 Bg4 h3 Nd4 Ke3 Nf5 Ke2 Nd4 Ke3 Nd5"
2021.03.16,Saaarr,1391,Thawfeek,1431,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nf3 Bc5 Nc3 Nf6 d4 exd4 Nxd4 Nxd4 Kd3 O-O Nd5 Nxd5 exd5 d6 c3 Bf5 Kc4 b5"
2021.03.16,funinjapple,1477,TheJewKing,1466,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 g3 Nxe4 f3 Nf6 Kf2 Bc5 Ke1 O-O d3 d5 Bg5 Re8 Nd2 Bf5 c3 e4 d4 exf3 Kf2 Qe7 Ngxf3 Qe3 Kg2 Be4 Bxe3 Bxf3 Kxf3 Bd6 Bg2 h5 Re1 Ng4 Bh3 Nxh2 Kg2 Ng4 Bxg4 hxg4 Qxg4 Re4 Nxe4 dxe4 Qc8 Kh7 Rh1 Kg6 Raf1 f6 Qf5 Kf7 Rh8 Nc6 Rxa8"
2021.03.16,qihanw2,2070,Youssef_2012,2069,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 f3 d5 d3 dxe4 dxe4 f5 Qxd8 Nxd8 Nc3 Nc6 Be3 Nf6 Rd1 Bb4 Nd5 Ba5 Kf2 fxe4 Nxf6 gxf6 fxe4 Be6 Bb5 Bd7 Nf3 O-O-O Nh4 Bb6 Bxc6 Bxe3 Kxe3 Bxc6 Nf5 Rxd1 Rxd1 Re8 c4 b6 b4 Bd7 Rd3 Bxf5 exf5 Rd8 Rxd8 Kxd8 g4 Ke7 h4 Kd6 g5 Ke7 g6 hxg6 fxg6 f5 h5 Kf6 a4 c6 b5 c5 Kf3 Kg7 Ke3 Kh6 Kf3 Kg7 Ke3 Kf6 Kf3 Kg7"
